,sentence,target,type,hateSpeech
46,আওয়ামীলিগের চোর সম্পাদক ওবায়দুল কাদের। এগুলি বাংলাদেশের শেখাসীনা ডাকাত পোষতেছে। দেশের সম্পদ লুট করে বিদেশে বড়ো বড়ো বিলডিং নির্মান জন্য বসে আছে।,male,slander,1
47,আওয়ামীলীগ এখন পাগলা কুত্তার মত হয়ে গেছে,group,slander,1
48,আওয়ামীলীগ কুত্তারবাচ্ছারা কতো মায়ের বুক খালি করেছে তার হিসাব হবে,group,slander,1
49,আওয়ামীলীগ খানকির মেয়ে মাদার চোদ,female,slander,1
50,আওয়ামীলীগ মানেই জারজ লীগ,group,slander,1
51,আওয়ামীলীগে মানে জানোয়ার হারামজাদা জারজ কুত্তার বাচ্চা শুয়োরের বাচ্চা ভারতের দালাল,group,slander,1
52,আখি আপু আপনাকে পুটকি মারতে চাই,female,gender,1
53,আগে ঠিক মত কথা বলাশিখ তার পর ইউটুবে উপস্থাপনা করিস পাগলের হ্যেডা,ind,slander,1
54,"আগেতো একটা জব ছিল এখন নেই,সো এখন ফুলটাইম দালালী করার সুযোগ। চোরের মার বড় গলা, যুদ্ধের সময় গর্তে লুকিয়ে থেকে এখন খুব দেশপ্রেম দেখাচ্ছে, ফাউল লোক একটা। লাখ লাখ তরুন তাদের যৌক্তিক দাবি নিয়ে শাহবাগ গেলে আপনার মনে হলো জনদুর্ভোগ করছে তারা, অন্যদিকে শাহাবাগে মাত্র ১০-১৫ জন যে রাস্তা বন্ধ করে জনদুর্ভোগ সৃষ্টি করেছিল তা নিয়ে কেন লেখেন নাই? কারন আপনি তেলবাজ ও দালাল।",ind,slander,1
55,আচোদনা কিছু আইছে,ind,slander,1
56,আচ্ছা সেফু খানকির পোলা তোরে কে চুইদ্দা বানায় সে একটু বলবি,male,slander,1
57,আজকের এই ঘটনা কি যদি কোনো সাধারণ পাবলিক অথবা মিডিয়া র কেউ করতো তখন তোদের গোয়ায় বাল গজাতো এবং তার ইজ্জত নিয়ে টানাটানি শুরু করতি হারামির বাচ্চা রা,group,slander,1
58,আজকের ভিডিও তে আগুনটা বেস্ট লাগতেছে আর ভিডিও টি সেরা। এই ভন্দ্রে জুতা মারা উচিত,ind,callToViolence,1
59,আজাহারি আবেহালা বনড আবুজাহের ইহুদির নাছারা ইবলিস সইতানের দালাল,male,religion_slander,1
60,আদালতের কাছে আবেদন করবোএই অমানুষ কে ফাসির দরি তে ঝুলিয়ে দিনযেন আর কোন দিন কোন অমানুষ বাবার সাথে এমন আচরণ করবার সাহস না পায়,ind,slander,1
61,আধা ঘন্টা ধরে ডলাডলি আর হাত মারার পরও ধন দাড় করাইতে পারে না যে ভাদাইম্যা সে আবার কি বালের লীলা করলো হা হা হা,male,slander,1
62,আপনাকে অনেক ধন্যবাদ ভিডিওটা বানানর জন্য সব কয়টা ভনড। কুততার বাচচা,group,slander,1
63,আপনাদের কারনে আজ আমরা একজন জানোয়ারকে দেখতে পেলাম তার হাত কেটে নেয়া হক,ind,slander,1
64,আপনাদের নিউজের এত করুন দশা যে এই সব বাল ছাল বিষয় নিয়ে রিপোর্ট করেন দেশে কি খবরের অভাব,ind,slander,1
65,আপনার এই পাগল ছাগলা মার্কা লোগোর জন্য আমি আন সাবস্ক্রাইব করতে বাধ্য হলাম,ind,slander,1
66,আপনার কত সাইজ লাগে আপনি খুব সুন্দর করে বললেন তাই আপনি তো জানতে ইচ্ছে করছে,female,gender,1
67,আপনারা জানেন না। এই মেয়েটা আসলে ও পতিতা। শুধু পতিতা না। এক নাম্বার খানকি।টাকার জন্য সব করতে পারে।আমি তাকে চিনি,female,gender,1
68,আপনারা ভিডিওটি ঠিকই করতে পারছেন কিন্ত কোনো প্রতিবাদ করতেছেন না এই সালারে আপনারা আগে পিটিয়ে হত্যা করেন না কেনআমার সামনে হইলে আগে সালারে মারতাম এরপর যা হওয়ার হইতো,ind,slander,1
69,আপনারা যারা বলছেন অনুমান করা হচ্ছে মেয়েটি চাকরি বাঁচাতে জামালপুরের ডি সি র সাথে শারীরিক সম্পর্ক করেছেন। কি বুঝাতে চাইছেন বুঝলাম না। এত অন্তরঙ্গ ভাব দেখে কি তাই মনে হয় এরা কোন টাইপের পতিতা আমার জানা নেই তবে ঘটনার সঠিক তদন্তের মাধ্যমে এইসব কুলাঙ্গারদের বহিষ্কার করা হোক।,female_group,gender_slander,1
70,আপনি কিছু জানেন না তাহলে কি বাল তুলতে আছেন এখানে,ind,slander,1
71,আপনি তুক্কো তুই যে এক দুই তিন চার দিয়ে এক এক করে প্রশ্ন করে যাচ্ছস তুরে খাওয়ার টাইম আছে নাকি বান্দির পুত??,male,slander,1
72,আপনি পচেগেছেন। প্রচন্ড দুর্গন্ধ আসছে আপনার থেকে,ind,slander,1
73,আপনি প্রমাণ করার কে আপনার এত চুলকানি কা ফাইজলামি চুদান,ind,slander,1
74,আপনি যতক্ষণ ছাগুদের সমর্থন না দেবেন ততক্ষণ পর্যন্ত ছাগুরা গু ছাড়া কিছু মুখে নেবে না বলে মানত করসে,ind,slander,1
75,"আপনি যে একটা মাদারচোদ আকের বার প্রমাণ হলো,,তার কারন হলো দশ বছরে যে পরিমাণ গুম খুন হয়েছে সে গুলো কিছুটা তুলে দরা উচিত ছিলো,,আর মুক্তিযোদ্ধা কথাটি আপনার মতো আবালের কাছে মানায় না।আপনি একটা অসৎ লোক।",ind,slander,1
76,"আপনি হলেন মাদার অব ভোট চুরনির দালালী কবুতর। আপনি তুচ্ছ একজন সস্তা দালাল। ক্ষমা যেহেতু চাচ্ছেন, আপনাকে আমি ক্ষমা করলাম না।",ind,slander,1
77,আপনিতো বড়ো একটা দালাল,ind,slander,1
78,আপা স্তন বড় করা যাবে কি করে,female,gender,1
79,আপু আপনার নিচ তালার ভাড়া কত,female,gender,1
80,আপু আপনার নিজের দুধই তো ঝুলে গেছে ব্রা দিয়ে টাইট করে আটকে রাখছেন আমরা জামার উপর দিয়ে শেইপ দেখলেই বুঝি কার দুধ কেমন,female,gender,1
81,আপু আপনার ব্রা সাইজ কত একটু বলেন আমার জানার ইচ্ছা,female,gender,1
82,আপু আপনার রেট কত হাজার টাকায় এক রাত হবে,female,gender,1
83,আপু আমার বউকে প্রতিদিন দুই তিনবার চুলার পরেও আমার বউ আরেকজনের কাছে চোদা খায় এখন আমি কি করব,female,gender,1
84,আপু তোমার টা দেখাবা,female,gender,1
85,আপু পাপন কে একপোটা দুদ দাও,female,gender,1
86,আপু ভোট চোরের সাথে কথা বলতে ঘৃনা হয়,ind,slander,1
87,আপু মুখে জুতা মারি,female,callToViolence,1
88,আপু সবার টা তো জানলাম তোমার ব্রা সাইজ কত জনগন যানতে চায়,female,gender,1
89,আফু তুমার দুধটা এতোবড়ো কেনো,female,gender,1
90,আবাল এটা নুস্রাত হত্তার আসামি না আগের নিউয একটা রে নুস্রাত হত্তার আসামি বানাই দিলি আবাল,ind,slander,1
91,আবাল গুলা ছাগলামি মার্কা অডিশন নিসে ঠিকি অল্প জলের মাছ বেশি জলে গিয়া লাফাইছে ও কিন্তু কিভাবে না চাইতেও কিছু ভালো মানের প্রতিযোগি কে সিলেক্ট করে ফেলেছে দিস ইজ মাই গভীর প্রশ্ন,group,slander,1
92,আবাল চুদা নায়ক,male,slander,1
93,আবাল দেখছি জীবনে কিন্তুু বিশ্বাস করেন ভাইয়েরা আমি এর মত বাল ছাল দেখিনি,ind,slander,1
94,আবালচোদা,ind,slander,1
95,আবালের ঘরের আবাল! ইংল্যান্ড ক্রিকেট বোর্ড তোকে নিউজ দিসেনাকি সাকিব বলসে? ভিউ বাড়ানোর জন্য তোরা তোদের মাবোনবউকে অন্যের বিছানায় পাঠাতেও দ্বিধাবোধ করবি না।,ind,slander,1
96,আবালের সরকার। আবাল শিক্ষামন্ত্রী। আবাল প্রধানমন্ত্রী।,ind,slander,1
97,আবে হালা সবাই তো তোরা রে। এখানে ষড়যন্ত্রের কি আছে। চিটারের উপর বাটপার। সবাই আপনারা।,group,slander,1
98,আবে হালায় কয় কি মিজান নাই একটা বক্তা আর তুই একটা ইউটিউবার তোরা দুনিয়াতে খালি ভন্ড চিনলি মুনাফিক চিনলি না,ind,religion_slander,1
99,আমরা কি হতে চাই না ও মাঝি কে চুদে দিল,ind,slander,1
100,আমরা গরিব আর তুই কি খানকির ছেলে চুদিস নাই খানকির ছেলে জারস সন্তান,male,slander,1
101,আমরা গর্ভিত ও আনন্দিত এই ভেবে যে ময়ূরীর দুধের সাইজ বিবেচনায় গিনেস ওয়ার্ল্ড বুকে বাংলাদেশের নাম থাকার সম্ভাবনা স্বাগত জানাই ময়ূরী কে,female,gender,1
102,আমরা মুসলিম জাতি আমরা অবশ্যই কাশ্মীরি জনগণের পাশে থাকবো মুসলমান রা এক মাত্র মহান আল্লাহ ব্যাতিত কাহারো কাছে মাথা নত করে নাই ভবিষ্যত য়ে করবে না ইনশাআল্লাহ হে আল্লাহ তুমি কাশ্মীরি মা বোন বাবা সন্তান শিশু দের রক্ষা কর আমরা মুসলিম রা গোটা দুনিয়াতে নিপীড়িত ও নির্যাতিত ইহুদি বোদ্ধ ক্রিস্টান হিন্দু সবাই মুসলিমদের শত্ৰু,group,religion,1
103,আমরা সবাই এই কুলাঙ্গারের ফাঁসি চাই ফাঁসি চাই ছেলে নামের কুলাঙ্গারের ফাঁসি চাই ফাঁসি চাই,male,slander,1
104,আমাকে তো খুব ভালো লাগে কারণ বর্তমান মুসলিম সমাজ ধর্ম ছাড়া কিছু বোঝে না তাদের মাথায় ঘেলু বলতে কিছু নাই শুধু গোবর ভরা তাইতো তারই ধর্মের নাম করে আইএসআইএস জঙ্গি গোষ্ঠী তে নাম লিখিয়ে সাধারণ নিরীহ মানুষ মেরে ধর্ম চোদায় তোদের ধর্ম গুডে মেরে দিতে হয় সালা মুর্খ এর জাত তোরা ম্যাগী চুদ্ আর ধর্ম নিয়ে ব্যবসা কর তোদের বাংলাদেশ এরকমই মুর্খ থাকবে তোরা শুধু ধর্ম চোদা যে দেশে ডকটর রা বাংলা ভাষায় ডিগ্রি অর্জন করে সে দেশ যে কত বড় মুর্খ বলাই বাহুল্য,group,slander,1
105,আমাদের আইঞ্চলিক ভাষায় একটা কথা আছে কম পানবর মাছ যদি বেশী পানিত পরলে চাটাচাটি করে শালারা কম পানির মাছ,group,slander,1
106,আমাদের গায়ের একটা কথা আছে মাগিরা নাকি রাস্তায় পায়খানা করে যাতে লুকে বলে এমন হাঠার রাস্তায় কোন মাগি পায়খানা করল যাতে মাগিকে লুকে মাগি ডাকে আর তুমিও তাই না হয় এস এম এস পড়ে দেখ লোকে তোমাকে কি ডাকল,female,gender,1
107,আমাদের গ্রেম আর বাসায় এক টি কথা আছে ছেলে রাগ করলে হয় বাদশা আর মেয়ে রাগ করলে হয় বেশ্যা এখন ক্ষতি টি কার হলো আপনি বলবে ইউটুব চ্যানেল বোন আপনার আসায় রয়লম,female,gender,1
108,আমাদের জন্য খুব খারাপ খবর সেইটা হল তোর মাকে জনে চোদে চে,female,callToViolence,1
109,আমাদের দেশে অনেক ইসলামিক নেতা লোকেরা আছে বিভিন্ন বিষয় নিয়ে ইসলামের পক্ষে হাউ কাউ করে চিল্লায় যদি তাই হয় তাহলে এসব খানকিদের কে ইসলামের নেতারা কিছু বলে না কেন,group,slander,1
110,আমাদের বেশা মাগি,female,gender,1
111,আমাদের মতোন পাবলিক দের হাতে এই জানোয়ার কে দিয়ে দিন দয়া করে আমরা শিক্ষা দিতে পারবো,ind,slander,1
112,আমানুস,ind,slander,1
113,আমার ইচ্ছা করে ওকে জবাই করে কুত্তাদিয়ে খাওয়াতে,ind,callToViolence,1
114,আমার ইনচি লম্বা বাড়া টানা একঘন্টার বেশি করলে মজা পাইবা,female,gender,1
115,আমার এ কমেন্ট শাহতাজকে দেখাবেন সবাই দয়াকরে। আমার খুব ইচ্ছে ওকে পাগিয়ে চুদব এবং খুব মজা করে ওর পাছায় বগা ঢুকাব। প্লিজ হেল্প মি,male,callToViolence,1
116,আমার এমবি ফিরত দে খানকির পোলারা,group,slander,1
117,আমার কাছে তুমিই সবচেয়ে বেশি সুন্দর আমি তোমাকে চুদতে চাই,ind,callToViolence,1
118,আমার খারাপ লাগেনি অমানুষের কান্না দেখে একটা মেয়েকে আগুনে পুড়িয়েছে যখন তখন মেয়েটার আরো বেশি কষ্ট হয়েছে,ind,slander,1
119,আমার গ্রাম এর হলে লোকটার আমার হাতে ওর হাত পা কেটে পেলতাম,male,callToViolence,1
120,আমার তোমার থেকে গ্রাম বুকের দুধ চুসতে চাই,female,gender,1
121,আমার বুকটা ফাইটা যাইতাছে ঔ বেটারে পাইতাম দইরা এমন মাইর দিতাম আমি গলা কাইটা ফেলতাম জানুয়ার বিয়াদ্যাব অমানুষ,ind,callToViolence,1
122,আমার মনে হয় তুই মাগির দালাল,ind,slander,1
123,আমার মনে হয় রুবেলের রক্ত ও মশার মাসি খাবে না যে খালো চুদলেও চোদা যাবে না দেখতে কুত্তার মত লাগে কালো কুকুর,male,slander,1
124,আমার লেওরা ঘটসে মাদার চোদ,ind,slander,1
125,আমার সারে আমার পাছা দিয়ে দিল আইক্কা আলা বাঁশ,ind,slander,1
126,আমার সালারা তোমরা কি বাল বানাও,group,slander,1
127,আমার সোনার বাংলাতে এমন রক্ষক নামের ভক্ষকের কোন জায়গা হবেনা।মাননীয় প্রধান মন্ত্রীর কাছে এর দৃষ্টান্তমূলক শাস্তি দাবি করছি।যেমন এই শালাকে এমন শাস্তি দেওয়া হোক যা দেখে অন্য কোন মানুষ যেন এমন অন্যায় করতে না পারে।,ind,slander,1
128,আমারও মাথায় কাজ করেনা ফারিয়া কেমন করে বিচারক হিসেবে চান্স পেল যত্তসব এই সব কয়েকটাই কি করতে এসেসে আ থু,group,slander,1
129,আমারো খুব সখ বিচারকদের জুতা পিটা করা,group,callToViolence,1
130,আমি আজ সাধারন ছাএদের বলতে ছাই তোমরা ছাএলীগ নামক কুওাদের গুলি করে আলাদা আলাদা করে ফায়ার করে মেরে ফেলো কারন এরাতো মানুষ না এরা কুওা সো কুওাদের মারলে কোন বিচার নেই,group,callToViolence_slander,1
131,আমি এই মালের নাম্বার চায় আমি ওকে ব্যবহার করতে চায় দয়াকরে নাম্বার টা দেন আমাকে,female,callToViolence_gender,1
132,আমি একজন বাংলাদেশী এই কুলাঙ্গারকে শাস্তি দিতে পেরে কলকাতা পুলিশ ডিপার্টমেন্টকে ধন্যবাদ জানাচ্ছি,ind,slander,1
133,আমি ওখানে থাকলে ওই কুত্তার বাচ্ছার সাথে ভালোকরে কথা না বলে ওকে জবাই করে সারা জীবনের যন্য জেলে চলে যেতাম,ind,callToViolence_slander,1
134,আমি ঔ খানে থাকলে সব শালার মুখ জুতা খুলে মারতাম।।,group,callToViolence_slander,1
135,আমি খুবই হাস্যকর হয়ে গেলাম কোন শালার নাতি এই বিচারক গুলারে নিয়োগ দিয়েছে বিচারক হিসেবে একদিনের বিচারক হয়ে অনেক লাফালাফি করছে। তাদের অভিনয় ভাল কিন্তু বিচারক হিসেবে মোটেই ভালো কাজ করতে পারেনি।,male,slander,1
136,আমি জীবনে কারো কাছে কোন কিছু চাইনি তাই সরকারের কাছে চাই প্লিজ এই রকম শয়তান পৃথিবীতে থাকলে অনেক মানুষ মানুষের ক্ষতি হবে তাই প্লিজ ফাঁসি চাই,ind,religion,1
137,আমি ত জয় বাবাকে ভালো বাসি আর শাকিব কুত্তা তুই বুবলিকে গিয়েচুদ,male,callToViolence_slander,1
138,আমি দুবাই থেকে বলছি প্রবাসী জানুয়ারি তারিখ দেশে ফিরে আসছি যদি মাদারচোদ পুলিশের সাথে দেখা হয় তাহলে ও কে জুতার বারি টা দেবো তারপর বাড়িতে চলে যাব,ind,callToViolence_slander,1
139,আমি দুর্বল প্রকৃতির মানুষ'। খালি জামায়াত-শিবিরের গোয়া মারার সময় তুমি সবল প্রকৃতির মানুষ হয়ে যাও। শালার বুইড়া খাচ্চোর! তোমারে ঘৃণা জানাইতেও ঘৃণা লাগছে।,male,slander,1
140,আমি নতুন ইমু মেয়েকোন ভাল লোকের যদি ইমু সেক্স করার ইচ্ছে থাকে আমার ইমুতে আসেনএটা ইমু নম্ভর আমি নতুন ইমু মেয়েকোন ভাল লোকের যদি ইমু সেক্স করার ইচ্ছে থাকে আমার ইমুতে আসেনএটা ইমু নম্ভর আমি নতুন ইমু মেয়েকোন ভাল লোকের যদি ইমু সেক্স করার ইচ্ছে থাকে আমার ইমুতে আসেনএটা ইমু নম্ভর আমি নতুন ইমু মেয়েকোন ভাল লোকের যদি ইমু সেক্স করার ইচ্ছে থাকে আমার ইমুতে আসেনএটা ইমু নম্ভর আমি নতুন ইমু মেয়েকোন ভাল লোকের যদি ইমু সেক্স করার ইচ্ছে থাকে আমার ইমুতে আসেনএটা ইমু নম্ভর,ind,gender,1
141,আমি পর্দাশীল মহিলা দেখেছি কিন্তু অই মহিলার মত পর্দাশীল দেখি নি। আর শালা অরে বকা দিয়া নিজের মুখ না অপবিত্র করুম না।,ind,slander,1
142,আমি প্রথম থেকেই জানতাম ঘটনার মুল হোতা মিন্নি মাগি অন্যের চুদা খাওয়ার জন্য রিফাতকে হত্যা করায় মিন্নি রিমান্ডে নিয়ে গিয়ে মিন্নির হেডা দিয়ে বড় বড় লোহার রট সিদ্ধ ডিম ঢুকালে সব বের হয়ে আসবে,female,callToViolence_gender,1
143,আমি বাংলাদেশের সব মানুষকে আবেদন করতেছি বাংলাদেশের আপনারা কেউ খেলা দেখবেন না আমি বাংলাদেশের সব মানুষের হাতে পায়ে ধরি মাদারচুদ লীগপ্লিজ প্লিজপ্লিজপ্লিজপ্লিজপ্লিজবাংলাদেশের কে না বলুন।,group,slander,1
144,আমি বি এন পি করিনা তার পরেও বলি কাউয়া কাদেরর সাথে তুলনা করা পাগলের প্রোলাপ,male,slander,1
145,আমি বুঝলাম না এই মাগী দুধ বড় বানিয়ে এত মজা পাচ্ছে কিভাবে ও এই দুধ দিয়ে কি করতে চায়,female,gender,1
146,আমি মনে করি এইসব নাস্তিকদেরকে জুতাপেটা করা উচিত এদের পৃথিবীতে বেঁচে থাকার কোন অধিকার নাই,group,callToViolence_religion,1
147,আমি যদি তোরে কাছে পাইতাম তাহলে পায়ে নিচে দিয়ে জবাই করতাম তুই দেশের সনমান নস্ট করছ,ind,callToViolence,1
148,আমি রানু গান চাই না হিমেস ভাই রানু কুকুরের পেটে কি ঘি হজম হয় শালি চাই না চাই না,female,gender,1
149,আমি সত্য বলছি যারা এই খবরগুলো বিশ্বাস করে তাদের মত বোকাচোদা আমি জীবনেও দেখিনি,ind,slander,1
150,আমিতো একারণে বলে বেশির ভাগ শিক্ষিত মানুষই তো বেয়াদব দুর্নীতিবাজ এবং ঘুষখোর শালারা,group,slander,1
151,আমিন খান এর জন্য দেকব বাট অই রাহুল না কি অই সুয়ারের বাচ্চার নিবার দরকার ছিল না তো,ind,slander,1
